Beach Name, Google Maps Link
Gokarna Beach, https://www.google.com/maps/place/Gokarna+Beach
Kaup Beach, https://www.google.com/maps/place/Kaup+Beach
Malpe Beach, https://www.google.com/maps/place/Malpe+Beach
Kapu Beach, https://www.google.com/maps/place/Kapu+Beach
Murudeshwar Beach, https://www.google.com/maps/place/Murudeshwar+Beach
Karwar Beach, https://www.google.com/maps/place/Karwar+Beach
Mangalore Beach, https://www.google.com/maps/place/Mangalore+Beach
St. Mary's Island, https://www.google.com/maps/place/St.+Mary's+Island
Maravanthe Beach, https://www.google.com/maps/place/Maravanthe+Beach
Kundapura Beach, https://www.google.com/maps/place/Kundapura+Beach
