Place,Coordinates
Hampi,15.3350° N, 76.4600° E
Badami Caves,15.9186° N, 75.6762° E
Bijapur Gol Gumbaz,16.8294° N, 75.7128° E
Mysore Palace,12.3052° N, 76.6552° E
Aihole,15.7344° N, 75.8889° E
Pattadakal,15.9432° N, 75.8221° E
Belur Chennakesava Temple,13.1668° N, 75.8627° E
Gommateshwara Statue (Shravanabelagola),11.9671° N, 76.5435° E
Bidar Fort,17.9136° N, 77.5307° E
Sringeri Sharada Peetham,13.4206° N, 75.2504° E
Shravanabelagola,11.9694° N, 76.5231° E
Halebidu Hoysaleswara Temple,13.2265° N, 75.9910° E
Chitradurga Fort,14.2324° N, 76.3983° E
Gulbarga Fort,17.3374° N, 76.8372° E
Basaralu Kedareshwara Temple,12.3624° N, 76.8584° E
Tipu Sultan's Summer Palace,12.9590° N, 77.5736° E
Kittur Fort,15.6328° N, 74.7536° E
Somanathapura Keshava Temple,12.3083° N, 76.8617° E
Talakadu,12.2114° N, 77.0245° E
Nuggehalli Lakshmi Narayana Devara Temple,12.8321° N, 76.4520° E
